id,category_alias,category_title,restaurant_id,restaurant_name,restaurant_price,restaurant_review_count,restaurant_rating,restaurant_phone,restaurant_distance,restaurant_coordinates_latitude,restaurant_coordinates_longitude,restaurant_location_city,restaurant_location_zip_code,restaurant_location_address1
44,french,French,hQ-fr8MvEV5RtJlezni1Pg,LA BUVETTE Steakhouse,€€€,88,4.5,+493094405363,858.1386399721341,52.53113129,13.38205394,Berlin,10115,Chausseestr. 110
45,brasseries,Brasseries,hQ-fr8MvEV5RtJlezni1Pg,LA BUVETTE Steakhouse,€€€,88,4.5,+493094405363,858.1386399721341,52.53113129,13.38205394,Berlin,10115,Chausseestr. 110
46,burgers,Burgers,-85Vif3rqVLHRMOBR-qNSA,Shiso Burger,€€,298,4.0,+493088944687,1583.240627680965,52.52723,13.39883,Berlin,10119,Auguststr. 29 c
47,wine_bars,Wine Bars,uR7wsySeBtVySv9QO8_hgg,Weingalerie und Café NÖ!,€€,131,4.5,+49302010871,1418.375690635572,52.51327,13.38625,Berlin,10117,Glinkastr. 23
48,mediterranean,Mediterranean,uR7wsySeBtVySv9QO8_hgg,Weingalerie und Café NÖ!,€€,131,4.5,+49302010871,1418.375690635572,52.51327,13.38625,Berlin,10117,Glinkastr. 23
49,flatbread,Flatbread,uR7wsySeBtVySv9QO8_hgg,Weingalerie und Café NÖ!,€€,131,4.5,+49302010871,1418.375690635572,52.51327,13.38625,Berlin,10117,Glinkastr. 23
50,bakeries,Bakeries,ZU-Ff2smJhlL3zqDBmjS7w,Cafe Albrecht,€,9,4.0,+493053156698,561.0560883180382,52.5231500048486,13.3838896792413,Berlin,10117,Reinhardtstr. 23
51,coffee,Coffee & Tea,ZU-Ff2smJhlL3zqDBmjS7w,Cafe Albrecht,€,9,4.0,+493053156698,561.0560883180382,52.5231500048486,13.3838896792413,Berlin,10117,Reinhardtstr. 23
52,breakfast_brunch,Breakfast & Brunch,ZU-Ff2smJhlL3zqDBmjS7w,Cafe Albrecht,€,9,4.0,+493053156698,561.0560883180382,52.5231500048486,13.3838896792413,Berlin,10117,Reinhardtstr. 23
53,syrian,Syrian,cq-jjm28Xv8oNVEZLQ5N-g,Yarok,€,169,4.5,+493095628703,1182.0239454983403,52.5283244,13.3920916,Berlin,10115,Torstr. 195
54,coffee,Coffee & Tea,vFQkzyNaKXBMZExeHRSOyg,Pret A Manger,,7,4.5,+492078278000,426.20937389649447,52.5243338564226,13.3695555026919,Berlin,10557,Europaplatz 1
